l2_error,_timestamp,loss_interior,loss,step,_step,loss_boundary,time,_runtime
0.0006710568519578063,1715690354.1002738,5.075677300959836e-07,8.634506814944798e-07,2254,83,3.558829513984962e-07,1584.7482662200928,1588.8530988693237
0.0006710568519578063,1715690371.746634,4.300325707806732e-07,7.880331687895181e-07,2479,84,3.580005980088448e-07,1602.3943254947662,1606.499459028244
0.0006710568519578063,1715690391.2710173,4.5897733551314174e-07,8.265046278612296e-07,2727,85,3.6752729234808796e-07,1621.9188935756683,1626.0238423347473
0.0006710568519578063,1715690412.7263258,4.5434074561463763e-07,8.840899234214302e-07,3000,86,4.297491778067926e-07,1643.3742907047272,1647.4791507720947
0.0006710568519578063,1715690436.3212295,4.459011069212202e-07,8.838838996763912e-07,3299,87,4.3798279275517103e-07,1666.9689428806305,1671.074054479599
0.0006710568519578063,1715690462.299482,4.565835741922493e-07,8.275935370896673e-07,3629,88,3.71009962897418e-07,1692.9474775791168,1697.0523071289062
0.0006710568519578063,1715690490.8049738,4.71247711114284e-07,8.722135319116297e-07,3992,89,4.009658207973457e-07,1721.4525709152222,1725.5577988624573
0.0006710568519578063,1715690522.1162515,4.43106272788164e-07,7.769477256506569e-07,4391,90,3.338414528624929e-07,1752.764137506485,1756.8690764904022
0.0006710568519578063,1715690556.6295867,4.75916894462248e-07,8.24570855422915e-07,4831,91,3.4865396096066703e-07,1787.277239561081,1791.3824117183685
0.0006710568519578063,1715690594.4795501,4.689105274577372e-07,8.452647990195318e-07,5314,92,3.763542715617946e-07,1825.127159833908,1829.2323751449585
0.0006710568519578063,1715690636.2299097,4.611492229728089e-07,8.060266389814118e-07,5845,93,3.448774160086029e-07,1866.8775036334991,1870.9827346801758
0.0006710568519578063,1715690682.0661488,4.561942869673414e-07,8.3824714754217e-07,6429,94,3.8205286057482865e-07,1912.7137799263,1916.8189737796783
0.0006710568519578063,1715690732.6380255,4.674374326799776e-07,8.58768090624159e-07,7072,95,3.913306579441814e-07,1963.285548210144,1967.3908505439758
0.0006710568519578063,1715690788.2767642,4.4975694644332843e-07,8.081653096914228e-07,7779,96,3.5840836324809445e-07,2018.923493385315,2023.029589176178
0.0006710568519578063,1715690849.386195,4.2620678306708065e-07,8.994498895188194e-07,8557,97,4.732431064517387e-07,2080.0338344573975,2084.1390199661255
0.0006710568519578063,1715690916.5627882,4.905377509688846e-07,8.75675903266676e-07,9413,98,3.851381522977914e-07,2147.210398197174,2151.315613269806
0.0006710568519578063,1715690990.5927389,4.30770344368972e-07,8.358881122622635e-07,10354,99,4.051177678932915e-07,2221.240394592285,2225.34556388855
0.0006710568519578063,1715691072.1298838,4.4180583249111233e-07,7.715317876314207e-07,11389,100,3.2972595514030833e-07,2302.7773745059967,2306.882708787918
0.0006710568519578063,1715691161.7883103,4.6061109140256165e-07,7.938600095527222e-07,12528,101,3.332489181501605e-07,2392.435894012451,2396.5411353111267
0.0006710568519578063,1715691260.4326632,4.338165570536031e-07,7.691307429681054e-07,13781,102,3.353141859145023e-07,2491.0802743434906,2495.1854882240295
0.0006710568519578063,1715691368.8225694,4.805359922308949e-07,8.610375004945886e-07,15159,103,3.8050150826369376e-07,2599.470169067383,2603.5753943920135
0.0006710568519578063,1715691487.9322677,4.569887718604309e-07,8.218107706403642e-07,16675,104,3.6482199877993333e-07,2718.5799243450165,2722.685092687607
0.0006710568519578063,1715691618.9690552,4.316477341405455e-07,7.313500751362903e-07,18342,105,2.997023409957448e-07,2849.616672039032,2853.721880197525
0.0006710568519578063,1715691763.8011696,4.755473250466229e-07,9.387557424501529e-07,20177,106,4.6320841740353005e-07,2994.4486422538757,2998.553994655609
0.0006710568519578063,1715691769.4291108,4.694241824202824e-07,8.490301191767336e-07,20248,107,3.7960593675645116e-07,3000.076721429825,3004.181935787201
