loss_interior,time,l2_error,_step,loss_boundary,loss,step,_timestamp,_runtime
6.613739946152143e-07,1113.931628704071,0.0012951859255683751,74,1.3374614093643959e-06,1.99883540397961e-06,956,1716415672.1600084,1117.6615633964539
4.940438619099618e-07,1225.4446725845337,0.0010409493030390483,75,8.56284448851821e-07,1.350328310761783e-06,1052,1716415783.6730688,1229.1746237277985
4.0150288442349775e-07,1347.3960897922516,0.0009077128358671698,76,6.52298700875873e-07,1.0538015852993708e-06,1157,1716415905.6245573,1351.1261122226715
3.209865821709775e-07,1480.9673762321472,0.0007844542400751691,77,4.892680766990598e-07,8.102546588700374e-07,1272,1716416039.1957343,1484.6972892284393
2.6344459881614053e-07,1629.6522343158722,0.0006940896552048058,78,3.840897750691743e-07,6.475343738853148e-07,1400,1716416187.8805292,1633.3820841312408
2.187151047502607e-07,1791.1223232746124,0.0006194538280317606,79,3.0659805786123647e-07,5.253131626114972e-07,1539,1716416349.3506799,1794.852234840393
1.8545612326462568e-07,1969.9750826358795,0.0005616900067982792,80,2.5100352152279014e-07,4.364596447874158e-07,1693,1716416528.2034144,1973.704969406128
1.5727444363731728e-07,2167.419218301773,0.0005084869157018517,81,2.0510820563669176e-07,3.6238264927400904e-07,1863,1716416725.6476638,2171.1492187976837
1.341705400317477e-07,2383.447726726532,0.0004630685349228932,82,1.6857104929819128e-07,3.02741589329939e-07,2049,1716416941.6760898,2387.1776447296143
1.1728258334237523e-07,2621.5926129817963,0.00042732542770520496,83,1.4244399782322692e-07,2.5972658116560214e-07,2254,1716417179.8210752,2625.3226301670074
3.803258864029113e-07,2882.9871344566345,0.0003932943241013488,84,2.0592896963682805e-07,5.862548560397393e-07,2479,1716417441.2155788,2886.7171337604523
2.267036090037076e-07,3000.314418077469,0.0003549370429333253,85,1.602461510733351e-07,3.8694976007704266e-07,2580,1716417558.5428367,3004.04439163208
