l2_error,_timestamp,loss_boundary,time,_runtime,loss,step,loss_interior,_step
0.0684953737807518,1715889109.4614127,0.004912303346770097,62.87443518638611,67.17242670059204,0.009372494390653241,3629,0.004460191043883143,88
0.06307431151792331,1715889115.404041,0.004188612580621735,68.81708335876465,73.11505508422852,0.00745706733577124,3992,0.0032684547551495046,89
0.05876127112639622,1715889121.9693067,0.0036454232946493,75.38227844238281,79.6803207397461,0.006207714692791558,4391,0.0025622913981422587,90
0.059674765638802904,1715889129.1977832,0.0036216881794666916,82.61091089248657,86.90879726409912,0.01085408693817856,4831,0.007232398758711868,91
0.053033056591734476,1715889137.141773,0.0028847580537549812,90.55493450164795,94.85278701782227,0.005843759170478536,5314,0.002959001116723555,92
0.04823830633986409,1715889145.8466792,0.0023944525596879705,99.25949883460999,103.55769324302673,0.004545166247265589,5845,0.0021507136875776184,93
0.044790388918575084,1715889155.4136856,0.002154936960332124,108.82658362388611,113.12469959259033,0.005495942445046814,6429,0.00334100548471469,94
0.041150786275325375,1715889165.912107,0.0017517058247372439,119.32522678375244,123.6231210231781,0.003293521182101697,7072,0.0015418153573644535,95
0.0375485304762025,1715889177.4527626,0.0014615227531338739,130.8655116558075,135.16377663612366,0.0026446221295523247,7779,0.0011830993764184506,96
0.03344238827130465,1715889190.1931355,0.0012208589684812587,143.60603022575378,147.90414953231812,0.0026950983666107742,8557,0.0014742393981295155,97
0.029015171003976912,1715889204.222599,0.0009147611241561083,157.63559412956238,161.9336130619049,0.0019383619987317154,9413,0.0010236008745756072,98
0.02517879194485243,1715889219.684875,0.0006590269759675821,173.09780311584473,177.39588904380798,0.001873678807311947,10354,0.0012146518313443648,99
0.022287703926693186,1715889236.6190078,0.000547477675229778,190.03173446655273,194.33002185821533,0.0017698894836427632,11389,0.001222411808412985,100
0.019028162751745226,1715889255.1904047,0.00039050777496204506,208.60291504859924,212.9014186859131,0.0011138614893345463,12528,0.0007233537143725013,101
0.016265104047340613,1715889275.6677582,0.00029895628343592,229.08057403564453,233.37877225875854,0.0008343144272220265,13781,0.0005353581437861065,102
0.014126380795591533,1715889298.2656794,0.00022517611776127483,251.67842435836792,255.97669339179993,0.0009063296558607343,15159,0.0006811535380994595,103
0.011344470682133137,1715889323.0319607,0.0001515917436113218,276.44465827941895,280.7429747581482,0.0006599878602432356,16675,0.0005083961166319138,104
0.009955136870083394,1715889350.2509024,0.00011434452974894427,303.6637854576111,307.9619164466858,0.0005551092760830082,18342,0.00044076474633406384,105
0.008962043626589604,1715889380.274675,9.700394345503684e-05,333.6875796318054,337.98568892478943,0.0004708240389941614,20177,0.0003738200955391246,106
0.009874965380831003,1715889413.33606,0.00010237725349748132,366.7488503456116,371.04707407951355,0.0005720769085736938,22194,0.0004696996550762126,107
0.00893789233491147,1715889449.679419,8.509784170961156e-05,403.09212923049927,407.3904330730438,0.00033302759155345136,24414,0.00024792974984383983,108
0.009516270692882784,1715889489.7272851,8.816930901444121e-05,443.1401538848877,447.43829917907715,0.0004915359511240515,26855,0.0004033666421096102,109
0.007815403319040242,1715889533.469584,7.095731323412098e-05,486.88241624832153,491.1805980205536,0.00023392414716538737,29540,0.0001629668339312664,110
0.007454933777204783,1715889581.7378442,6.088204894580486e-05,535.1506903171539,539.4488582611084,0.00020239476910623576,32494,0.0001415127201604309,111
0.0070725835248115826,1715889634.6862874,5.385595406941119e-05,588.0990891456604,592.3973014354706,0.0001821067000112599,35744,0.0001282507459418487,112
0.008037665643712255,1715889692.8859546,7.193770490509758e-05,646.2988603115082,650.5969686508179,0.0005031477495682173,39318,0.00043121004466311973,113
0.006156432791613516,1715889757.3189585,4.235743732622181e-05,710.7317764759064,715.0299725532532,0.00015126897178804164,43250,0.00010891153446181984,114
0.00585320735188236,1715889828.1643682,4.079304245221855e-05,781.5772230625153,785.8753821849823,0.00013879656311566188,47575,9.800352066344333e-05,115
0.005480981946910043,1715889906.1147635,3.4472869146882095e-05,859.527458190918,863.8257775306702,0.0001313034409113478,52332,9.683057176446571e-05,116
0.005290386111761655,1715889991.7027576,3.3908562665669815e-05,945.115617275238,949.4137716293335,0.0001039932964267673,57566,7.00847337610975e-05,117
0.0049891939666472,1715890085.8833702,2.6609763441039857e-05,1039.2961282730103,1043.5943841934204,0.00011157380584524767,63322,8.496404240420781e-05,118
0.004795205829782641,1715890189.2411933,2.8229076338730883e-05,1142.6540849208832,1146.952207326889,0.0001052605000748867,69654,7.703142373615581e-05,119
0.004579944135924316,1715890302.9735296,2.3310987757887285e-05,1256.3862969875336,1260.6845436096191,8.45379101048907e-05,76620,6.12269223470034e-05,120
0.004312611825835176,1715890428.496212,2.1228562672671362e-05,1381.9091448783875,1386.2072260379791,6.0734089030807945e-05,84281,3.950552635813658e-05,121
0.004508539235383398,1715890566.3693085,2.495063497381434e-05,1519.7819285392761,1524.0803225040436,0.00013620178238001046,92710,0.00011125114740619612,122
0.004005211880316948,1715890717.8085244,1.871214662297775e-05,1671.2212173938751,1675.5195384025574,5.3699173185985886e-05,101980,3.4987026563008136e-05,123
0.00400215803511196,1715890884.9505339,1.82967225741617e-05,1838.3633313179016,1842.6615478992462,5.742531594605993e-05,112178,3.912859337189823e-05,124
0.003768086021049983,1715891068.278893,1.612328908137483e-05,2021.6915156841278,2025.989907026291,5.52177701795527e-05,123396,3.909448109817787e-05,125
0.003486785214591776,1715891270.1107721,1.5167819427606676e-05,2223.5236372947693,2227.8217861652374,5.523766825952129e-05,135736,4.006984883191461e-05,126
0.0035881787476643202,1715891492.4488459,1.4936220724553885e-05,2445.8617310523987,2450.159859895706,7.92391460530053e-05,149309,6.430292532845142e-05,127
0.0033772428215705,1715891736.8935962,1.2671118704739698e-05,2690.3064711093903,2694.6046102046967,4.1195763865480994e-05,164240,2.8524645160741294e-05,128
0.0032140480499775795,1715892006.1294956,1.3926765934407531e-05,2959.5415003299713,2963.8405096530914,7.603818863120165e-05,180664,6.211142269679411e-05,129
0.003153628135465765,1715892046.6005516,1.2428558024843307e-05,3000.0134415626526,3004.3115656375885,3.709794621956445e-05,183142,2.466938819472114e-05,130
