loss_boundary,time,_step,_runtime,_timestamp,l2_error,loss_interior,loss,step
0.0819933847374994,6.071375846862793,61,7.530231952667236,1723045658.927888,0.39445525530866216,0.009051622272575058,0.09104500701007445,277
0.0610129682678954,6.533037185668945,62,7.992302417755127,1723045659.3899584,0.32113074845855644,0.01129573228662896,0.07230870055452436,305
0.04035566270914464,7.02252721786499,63,8.483985185623169,1723045659.8816411,0.2435395785116422,0.012701342345874504,0.053057005055019146,335
0.02803944076865033,7.579137086868286,64,9.038377523422241,1723045660.4360335,0.1910105500343947,0.011624954921317984,0.03966439568996831,369
0.021638540329086502,8.17509651184082,65,9.634036302566528,1723045661.0316923,0.18287483485935457,0.008045824362540322,0.029684364691626823,406
0.016591135336963266,8.839288473129272,66,10.298341035842896,1723045661.695997,0.15520917356071798,0.005365649499022171,0.021956784835985437,446
0.010172194959162828,9.564049005508423,67,11.023290872573853,1723045662.4209468,0.10760827178002351,0.0036404724466431735,0.013812667405806,491
0.006301392660869692,10.358724117279053,68,11.817767858505249,1723045663.2154238,0.07837333578055743,0.0029701599397951254,0.009271552600664817,540
0.0034813946997282,11.226541519165039,69,12.686018943786621,1723045664.083675,0.05953630958224524,0.0022357783771271168,0.005717173076855316,594
0.0019259927916195508,12.16615629196167,70,13.625346899032593,1723045665.0230029,0.05036939995402701,0.0015686602803177167,0.0034946530719372672,653
0.0017494026256160407,13.198846817016602,71,14.657925844192505,1723045666.0555818,0.04403768015310942,0.0013141057391979304,0.003063508364813971,718
0.0014740766569718337,14.354475736618042,72,15.81376028060913,1723045667.2114162,0.03828603460536413,0.0009787059263357456,0.002452782583307579,790
0.0011992566981051717,15.610527515411377,73,17.069941997528076,1723045668.467598,0.03967165165615938,0.0008599695705676178,0.0020592262686727897,869
0.0011391424602258723,16.99242401123047,74,18.451664447784424,1723045669.8493204,0.03333073833506366,0.000739081654102913,0.0018782241143287853,956
0.0007284610588002209,18.514323472976685,75,19.973721504211426,1723045671.3713775,0.032614018748759285,0.000576826886217656,0.001305287945017877,1052
0.0006687754468319452,20.182027578353882,76,21.641010522842407,1723045673.0386665,0.02815061082608566,0.0004291686160078032,0.0010979440628397484,1157
0.0007878720125990356,22.03682279586792,77,23.495734691619873,1723045674.8933907,0.03125460702890405,0.0003551874944051348,0.0011430595070041705,1272
