_step,l2_error,time,loss_boundary,step,_timestamp,loss_interior,loss,_runtime
87,0.024088408288026674,55.75280499458313,0.00016664963187655723,3299,1723045708.6459415,6.605311575856553e-05,0.00023270274763512275,56.525954484939575
88,0.02361697111736386,61.079777002334595,0.0001349807108353367,3629,1723045713.9724398,5.6237830276265685e-05,0.00019121854111160238,61.852452754974365
89,0.01238279039022098,66.91152882575989,9.287216344112541e-05,3992,1723045719.8040025,5.804620094187892e-05,0.00015091836438300434,67.68401551246643
90,0.011362245052173908,73.41295599937439,7.363775448590543e-05,4391,1723045726.3057525,7.936775393664533e-05,0.00015300550842255075,74.18576550483704
91,0.013191483573327596,80.48075413703918,0.0002248627852761874,4831,1723045733.3736007,5.270704407221754e-05,0.0002775698293484049,81.25361371040344
92,0.00819735952109031,88.27684879302979,6.795708761303677e-05,5314,1723045741.1695135,4.228862178210307e-05,0.00011024570939513984,89.04952645301819
93,0.008294820362476528,96.81715822219849,6.739719882528953e-05,5845,1723045749.7097845,5.505952607341959e-05,0.00012245672489870913,97.58979749679565
94,0.037484189547138023,106.21941065788269,0.0007492273048606906,6429,1723045759.1124046,3.5652331943044764e-05,0.0007848796368037353,106.99241757392883
95,0.010415238720779414,116.5901255607605,0.00010794785262750575,7072,1723045769.4827874,3.6348374692199934e-05,0.00014429622731970568,117.36280035972595
96,0.007481272257629442,128.0829770565033,5.029243439029242e-05,7779,1723045780.975736,6.36624656371525e-05,0.00011395490002744492,128.85574889183044
97,0.015452108620464934,140.7204020023346,0.00016092885521811149,8557,1723045793.6126032,3.060823298644729e-05,0.00019153708820455876,141.49261617660522
98,0.006172503803298202,154.58469104766846,5.316794382807308e-05,9413,1723045807.4779239,3.239911411299324e-05,8.556705794106632e-05,155.35793685913086
99,0.012396778512974676,169.7597939968109,3.990408249077236e-05,10354,1723045822.652608,2.1957722942458244e-05,6.18618054332306e-05,170.53262090682983
100,0.00982853318579812,186.38858270645142,3.6374745262140616e-05,11389,1723045839.281637,3.936469418838185e-05,7.573943945052247e-05,187.16164994239807
101,0.011898640586391082,204.68720126152039,5.6745761417167014e-05,12528,1723045857.5803237,4.8596931799498936e-05,0.00010534269321666595,205.46033668518066
102,0.019142887495679113,224.88025641441345,0.00021748620032617822,13781,1723045877.773207,2.8077022210741024e-05,0.00024556322253691925,225.6532199382782
103,0.005596912243248503,247.0814769268036,1.7735619702086757e-05,15159,1723045899.9741862,1.6973869162921606e-05,3.4709488865008366e-05,247.85419917106628
104,0.005513483328793194,271.44975090026855,3.137194306903357e-05,16675,1723045924.3425117,1.3759747454492807e-05,4.513169052352638e-05,272.22252464294434
105,0.0036716904728484206,298.32644152641296,1.4857163854845525e-05,18342,1723045951.218575,1.3789087480004416e-05,2.8646251334849942e-05,299.09858798980713
106,0.004486973739948705,328.10172939300537,1.7487156575956126e-05,20177,1723045980.9947793,1.9392409860857374e-05,3.68795664368135e-05,328.8747923374176
107,0.0057087341695583015,360.7415678501129,8.163118581848093e-06,22194,1723046013.6344564,1.2646867803887261e-05,2.0809986385735356e-05,361.5144693851471
108,0.002691215951705377,396.7127163410187,7.047380769483729e-06,24414,1723046049.6059139,7.527174368276959e-06,1.4574555137760688e-05,397.4859268665314
109,0.003239302748348349,436.22749972343445,6.011883179674554e-06,26855,1723046089.1206927,6.7216160687778325e-06,1.2733499248452387e-05,437.00070571899414
110,0.00651223981771803,479.7974021434784,2.767755237511792e-05,29540,1723046132.6903622,7.644166024212719e-06,3.5321718399330634e-05,480.5703752040863
111,0.013992822460636137,527.5468246936798,8.63264392244798e-05,32494,1723046180.4396915,4.7088103708068885e-06,9.103524959528668e-05,528.3197045326233
112,0.005879093945283322,580.4843740463257,3.458407136697679e-05,35744,1723046233.3774996,1.3426514864861201e-05,4.8010586231837985e-05,581.2575125694275
113,0.0067132207819347416,638.4361348152161,4.17697321196601e-05,39318,1723046291.3294554,1.1857784881264303e-05,5.3627517000924405e-05,639.2094683647156
114,0.004052376474336407,701.944895029068,1.5875648641111766e-05,43250,1723046354.8379943,1.140559984999596e-05,2.7281248491107728e-05,702.7180073261261
115,0.0033076828201646677,771.6521246433258,4.519020142523276e-06,47575,1723046424.5451317,4.604981293968921e-06,9.124001436492197e-06,772.4251446723938
116,0.003388211728452602,848.2700111865997,1.1408144504801754e-05,52332,1723046501.1628094,3.5192607091672687e-06,1.4927405213969022e-05,849.0428223609924
117,0.0019695398873247967,932.5196571350098,2.3092488900732535e-06,57566,1723046585.4125247,1.7183190472694625e-05,1.9492439362767877e-05,933.292537689209
118,0.0037436053677334206,1025.0764813423157,2.6217926130678782e-05,63322,1723046677.9692712,6.66401960961122e-05,9.285812222679097e-05,1025.849284172058
119,0.004400783376257346,1127.0182282924652,1.407941341442946e-05,69654,1723046779.9108503,3.3233796148292285e-06,1.740279302925869e-05,1127.790863275528
120,0.0028242650078264633,1239.1810939311981,3.890105938884421e-06,76620,1723046892.0741663,5.05631493861705e-06,8.946420877501472e-06,1239.9541792869568
121,0.0008615736099252774,1362.6673638820648,8.826583380419147e-07,84281,1723047015.5598872,2.585737002774345e-06,3.4683953408162595e-06,1363.4399001598358
122,0.008008254683248894,1498.7798759937286,4.96355810333777e-05,92710,1723047151.6727643,3.1620959566273472e-06,5.2797676990005047e-05,1499.5527772903442
123,0.003695904719430963,1648.2004601955414,3.0253208786570835e-06,101980,1723047301.0934024,1.6000549495071385e-05,1.9025870373728468e-05,1648.9734153747559
124,0.0013919906001159158,1812.9416840076447,1.6670641671587836e-06,112178,1723047465.8345125,4.06636075141987e-06,5.733424918578654e-06,1813.714525461197
125,0.003252070153660406,1994.0210719108582,1.0039886107021056e-05,123396,1723047646.9140193,1.4825708591399591e-05,2.486559469842065e-05,1994.7940323352814
126,0.005563476077401257,2193.8064935207367,1.522281698938181e-05,135736,1723047846.700254,8.38902416906673e-06,2.361184115844854e-05,2194.5802669525146
127,0.0012845851238105052,2413.3756568431854,4.358887496268349e-07,149309,1723048066.2688081,2.279578641487716e-06,2.715467391114551e-06,2414.148821115494
128,0.0019811182949930808,2654.790672302246,2.8747321191594407e-06,164240,1723048307.6834114,1.1488568536696738e-06,4.023588972829114e-06,2655.563424348831
129,0.0015066105560215376,2920.6130640506744,1.2796278902943587e-06,180664,1723048573.5060906,1.6220698335615687e-05,1.7500326225910047e-05,2921.386103630066
130,0.002283932471003562,3000.008910894394,1.7119456135485886e-06,185587,1723048652.9028347,3.605435005420789e-06,5.3173806189693774e-06,3000.7828476428986
