_step,_runtime,loss_interior,step,time,loss,loss_boundary,l2_error,_timestamp
111,547.442830324173,4.467622392828927e-05,32494,546.0495209693909,7.913843406560705e-05,3.446221013731779e-05,0.006977247821702979,1723046197.9970143
112,601.8215374946594,4.2321269568769627e-05,35744,600.4280068874359,9.082638250333479e-05,4.850511293456516e-05,0.007989591460787333,1723046252.3757215
113,661.6123688220978,3.6027771969999636e-05,39318,660.2191696166992,7.811761366944364e-05,4.2089841699444006e-05,0.006616575470270591,1723046312.1665528
114,727.3668911457062,3.31412741299533e-05,43250,725.9740126132965,7.814208891032601e-05,4.500081478037271e-05,0.005934368913527266,1723046377.921075
115,799.8543100357056,3.164076215262888e-05,47575,798.4615626335144,6.559510854535906e-05,3.395434639273019e-05,0.0057494583535718,1723046450.408494
116,879.5731320381165,2.948979274831712e-05,52332,878.1801917552948,5.990154748163275e-05,3.0411754733315626e-05,0.007968206352566802,1723046530.127316
117,967.4638915061951,2.7234654117614326e-05,57566,966.0702004432678,6.476842276016749e-05,3.753376864255317e-05,0.007880370610871682,1723046618.0180755
118,1063.6330618858337,2.776532742311481e-05,63322,1062.2404811382294,7.032816248831341e-05,4.25628350651986e-05,0.006352139483248357,1723046714.1872458
119,1169.6300313472748,2.429861868030104e-05,69654,1168.2364768981934,5.286957869536717e-05,2.857096001506613e-05,0.0059150027565649565,1723046820.1842153
120,1285.9485292434692,2.2355959402603642e-05,76620,1284.555555343628,4.387178400933517e-05,2.1515824606731523e-05,0.004980793734665301,1723046936.5027132
121,1414.1937055587769,1.9932910237921344e-05,84281,1412.8001403808594,4.540352241633372e-05,2.547061217841238e-05,0.006708129835944604,1723047064.7478895
122,1555.198932647705,2.1125531739424815e-05,92710,1553.805911540985,4.274107771467875e-05,2.1615545975253935e-05,0.005468930949271419,1723047205.7531166
123,1710.2087495326996,1.8409961620820694e-05,101980,1708.815604686737,4.116804141209619e-05,2.2758079791275493e-05,0.004815902054494263,1723047360.7629335
124,1880.9794421195984,1.7299009557656317e-05,112178,1879.5862691402435,3.6598002367666465e-05,1.929899281001015e-05,0.004539886525792674,1723047531.533626
125,2068.645046710968,1.7494656135960535e-05,123396,2067.2519433498383,4.66239620358264e-05,2.9129305899865864e-05,0.004667242486852593,1723047719.1992307
126,2275.6258771419525,1.5231896598912631e-05,135736,2274.2326171398163,3.254468217808062e-05,1.7312785579167984e-05,0.005198495480545791,1723047926.180061
127,2502.784994363785,1.44283337236493e-05,149309,2501.3917260169983,3.0070712996258973e-05,1.564237927260967e-05,0.004249316189838979,1723048153.3391783
128,2753.4072046279907,1.3505599935558226e-05,164240,2752.013883113861,3.092315706338025e-05,1.7417557127822025e-05,0.004404257337196935,1723048403.9613886
129,3001.4030888080597,1.2566086031787571e-05,179036,3000.008469104767,2.757487840115207e-05,1.5008792369364498e-05,0.004923527156262225,1723048651.9572728
