step,_runtime,loss,_step,time,l2_error,loss_boundary,_timestamp,loss_interior
1272,23.561344146728516,0.0010143773147232716,77,21.970569849014282,0.025121526791889726,0.0006978671952838991,1723045674.8040812,0.0003165101194393726
1400,25.58347201347351,0.0010559054348695269,78,23.992536067962646,0.04565335200622845,0.0008129033565080921,1723045676.826209,0.0002430020783614349
1539,27.805673122406006,0.0006526121736464986,79,26.215258836746216,0.022172528924360526,0.00044477009075715736,1723045679.0484102,0.00020784208288934122
1693,30.2516131401062,0.0005491685512478368,80,28.660828351974487,0.029615900226869264,0.0003782715510672818,1723045681.4943502,0.00017089700018055497
1863,32.95846915245056,0.0009581063863730186,81,31.367680311203003,0.029084283671989605,0.0007855385167783371,1723045684.2012062,0.00017256786959468138
2049,35.94768834114075,0.0005152164998354899,82,34.35716915130615,0.025478790991713105,0.00037210994955370934,1723045687.1904254,0.0001431065502817806
2254,39.27098536491394,0.0004011698333189453,83,37.680235624313354,0.01879569719745084,0.0002780615952219552,1723045690.5137224,0.00012310823809699012
2479,42.91549777984619,0.0003726257667110864,84,41.3236083984375,0.017598854148177114,0.000253713179807641,1723045694.1582348,0.00011891258690344541
2727,46.85529947280884,0.00045014214299926163,85,45.26449680328369,0.024036942123259127,0.0003448492369823772,1723045698.0980365,0.00010529290601688444
3000,51.178364276885986,0.0002568845797066676,86,49.587541580200195,0.013904425805162726,0.00015987913745681183,1723045702.4211013,9.700544224985574e-05
3299,55.9102303981781,0.0015269977084665044,87,54.319539308547974,0.03368978361674473,0.0014128873360695138,1723045707.1529675,0.00011411037239699053
3629,61.12768077850342,0.0004006692070719429,88,59.536617040634155,0.024259344818263747,0.000308108672921498,1723045712.3704178,9.256053415044489e-05
3992,66.90745139122009,0.00043231652920422664,89,65.31538677215576,0.02340974015375574,0.0003650485605906575,1723045718.1501884,6.726796861356915e-05
4391,73.20993161201477,0.000274927625537339,90,71.61903357505798,0.010373741213919896,0.00019088599383319807,1723045724.4526687,8.404163170414092e-05
4831,80.16917896270752,0.0001963477124326792,91,78.57835364341736,0.011315408737015989,0.0001397091443494181,1723045731.411916,5.663856808326112e-05
5314,87.78425717353821,0.00017361365641625269,92,86.19351291656494,0.01558287098325009,0.00012502636348644337,1723045739.0269942,4.858729292980932e-05
5845,96.19127917289734,0.00012124523057181646,93,94.60049200057983,0.00903501434697397,7.726905656795473e-05,1723045747.4340162,4.397617400386174e-05
6429,105.49679136276245,0.00014444765957849942,94,103.90588021278381,0.012202287235009813,0.000103511173258238,1723045756.7395284,4.093648632026143e-05
7072,116.24974727630615,0.00038534092166529364,95,114.65905833244324,0.020383595548965308,0.000344540630968802,1723045767.4924843,4.0800290696491654e-05
7779,127.41998600959778,0.0002067892668321479,96,125.82922220230103,0.018714659504516316,0.00014292177586845554,1723045778.662723,6.386749096369237e-05
8557,139.7924404144287,8.735152377309502e-05,97,138.20171976089478,0.012888511224513328,4.7835696739217406e-05,1723045791.0351775,3.951582703387762e-05
9413,153.46859622001648,7.914495835735174e-05,98,151.87763857841492,0.009286161996645101,4.6398720154630216e-05,1723045804.7113333,3.274623820272153e-05
10354,168.52573418617249,0.00013052650815258688,99,166.93503880500793,0.012283514094526878,8.31639295567808e-05,1723045819.7684712,4.736257859580608e-05
11389,185.18080115318298,0.00026280866006957534,100,183.59025597572327,0.017589459766008574,0.0002357574746133915,1723045836.4235382,2.7051185456183873e-05
12528,203.5005009174347,5.118097280396144e-05,101,201.90994310379028,0.005930256661520658,3.0652113470675256e-05,1723045854.743238,2.052885933328618e-05
13781,223.84793758392334,0.00018845324073208286,102,222.25717163085938,0.014364296457416069,0.00012602835869197926,1723045875.0906746,6.242488204010362e-05
15159,246.37100768089294,5.087674416947036e-05,103,244.78062915802002,0.00747020152138199,3.091312424408056e-05,1723045897.6137447,1.9963619925389802e-05
16675,270.9311900138855,0.00010572751770443015,104,269.3404531478882,0.007957029378916935,8.520547588034045e-05,1723045922.173927,2.0522041824089698e-05
18342,298.11625027656555,2.5834858749911286e-05,105,296.5256083011627,0.008133187825754899,1.4733256217141329e-05,1723045949.3589873,1.1101602532769957e-05
20177,328.0948235988617,5.2674411672777143e-05,106,326.50397419929504,0.003977933955359932,1.3451120158724068e-05,1723045979.3375607,3.922329151405308e-05
22194,360.8666741847992,2.953010410264043e-05,107,359.2760753631592,0.005408329344988609,1.7192173077460035e-05,1723046012.1094112,1.2337931025180396e-05
24414,397.0548474788666,6.04484890813023e-05,108,395.46432423591614,0.003198589900391505,2.071232308458659e-05,1723046048.2975845,3.973616599671571e-05
26855,436.97539019584656,2.740908771238657e-05,109,435.3845326900482,0.0027638477596747747,1.4044799064259432e-05,1723046088.2181273,1.3364288648127137e-05
29540,481.11071133613586,2.088245898833487e-05,110,479.51945638656616,0.003015743083277006,1.264966621302343e-05,1723046132.3534484,8.23279277531144e-06
32494,529.2994003295898,1.8097976210577157e-05,111,527.7086925506592,0.004604232654338768,9.91144330826518e-06,1723046180.5421374,8.186532902311975e-06
35744,582.3705167770386,1.942290861492473e-05,112,580.7796022891998,0.006239361587273276,1.5365871250010318e-05,1723046233.6132538,4.05703736491441e-06
39318,640.6338651180267,4.2412758924452396e-05,113,639.0432553291321,0.005637346626317783,3.5307087699837876e-05,1723046291.8766022,7.105671224614522e-06
43250,704.9038643836975,2.6986874869401007e-05,114,703.3131349086761,0.003960372120337967,1.3340654653715697e-05,1723046356.1466014,1.3646220215685312e-05
47575,775.3606383800507,7.169922295207369e-06,115,773.7702734470367,0.0016203072917276738,2.1039624855916786e-06,1723046426.6033754,5.06595980961569e-06
52332,852.660439491272,1.2410047729062623e-05,116,851.0698516368866,0.0044342713305214375,3.866931782489702e-06,1723046503.9031765,8.543115946572923e-06
