_timestamp,loss_boundary,l2_error,step,time,_runtime,loss_interior,loss,_step
1723045658.3334365,0.09808442078838955,0.4203537592630838,229,5.4405741691589355,6.602530479431152,0.013322253232962324,0.11140667402135188,59
1723045658.7035387,0.0846518754869123,0.3883579150392843,252,5.810575723648071,6.972632646560669,0.012287508731507562,0.09693938421841987,60
1723045659.1102235,0.06890056110568833,0.33901999288120266,277,6.217391729354858,7.37931752204895,0.014193665380133592,0.08309422648582193,61
1723045659.560048,0.049127642474509535,0.3049396350052964,305,6.667115688323975,7.829142093658447,0.013112821979928696,0.06224046445443823,62
1723045660.0428395,0.041781003967820196,0.2627985076999964,335,7.14987850189209,8.311933517456055,0.01461198272629644,0.05639298669411664,63
1723045660.5923934,0.030250717204469025,0.23343923213386517,369,7.6997597217559814,8.86148738861084,0.014167746501708397,0.04441846370617742,64
1723045661.1886518,0.02315328318635811,0.2018405696899189,406,8.295717716217041,9.457745790481567,0.01200304088280895,0.035156324069167064,65
1723045661.8310375,0.022884609029407928,0.1963555835801486,446,8.938053369522095,10.100131511688232,0.009948902643808077,0.032833511673216006,66
1723045662.5522418,0.019889272183612243,0.18532337808997063,491,9.659299373626709,10.821335792541504,0.009376450915126028,0.02926572309873827,67
1723045663.3357325,0.016480353453681058,0.17109677713272647,540,10.443243503570557,11.6048264503479,0.008405395025723692,0.02488574847940475,68
1723045664.212066,0.019662606133153075,0.14843019948053054,594,11.318941354751587,12.481159925460815,0.008125380156969519,0.027787986290122593,69
1723045665.1722429,0.01861759778989758,0.16353315526629092,653,12.279342412948608,13.441336870193481,0.00680121270291821,0.02541881049281579,70
1723045666.2100768,0.013880952543251685,0.14439697288172604,718,13.317136764526367,14.479170799255371,0.006164790898174424,0.02004574344142611,71
1723045667.3540316,0.01275552638321091,0.13718102931496803,790,14.461268663406372,15.623125553131104,0.0050605162795334755,0.017816042662744384,72
1723045668.6154084,0.012132647392999798,0.15165623421779212,869,15.722457647323608,16.884502410888672,0.004525635103588612,0.01665828249658841,73
1723045669.9957113,0.012487426154893037,0.11766896034022845,956,17.102823734283447,18.26480531692505,0.0039829632118998474,0.016470389366792883,74
1723045671.515043,0.0091253157726702,0.11204724435963087,1052,18.62201976776123,19.78413701057434,0.003202677390390549,0.01232799316306075,75
1723045673.1857476,0.0078885886396581,0.11722653431613814,1157,20.29280424118042,21.45484161376953,0.0027847963669276874,0.010673385006585786,76
1723045675.0386531,0.00512278889419259,0.08525412076604112,1272,22.145830869674683,23.30774712562561,0.0024656842377204086,0.007588473131912999,77
