l2_error,loss_boundary,loss,_runtime,time,_timestamp,loss_interior,_step,step
0.3583080045117231,0.0712617274039823,0.08345790334093757,8.049084424972534,4.344662666320801,1715668088.5509343,0.01219617593695527,64,369
0.3168351794666208,0.055460141486255665,0.06813933092592675,8.335222721099854,4.631157875061035,1715668088.8370726,0.012679189439671086,65,406
0.274927297841875,0.04391546116024821,0.056324374051099274,8.642900943756104,4.938798427581787,1715668089.1447508,0.012408912890851062,66,446
0.24665758139949692,0.03392928496164973,0.045579148754025356,8.990598440170288,5.286519527435303,1715668089.4924483,0.011649863792375625,67,491
0.2202123008621162,0.028732545905753536,0.040749134566402834,9.366565942764282,5.662416696548462,1715668089.8684158,0.012016588660649296,68,540
0.19586946890530366,0.021216686695661388,0.03237332641779678,9.786223888397217,6.08211874961853,1715668090.2880738,0.011156639722135386,69,594
0.18221346035653208,0.02317236402801187,0.033490710154452846,10.24027419090271,6.5360071659088135,1715668090.742124,0.010318346126440978,70,653
0.17345102257498954,0.019836874762588528,0.029548427022661,10.743619203567505,7.039372444152832,1715668091.245469,0.009711552260072474,71,718
0.16172611072104262,0.01659340612552926,0.025149754961652122,11.296813488006592,7.5926525592803955,1715668091.7986634,0.008556348836122862,72,790
0.15954074011687797,0.01585094749992095,0.023354891251183407,11.904703140258789,8.200572967529297,1715668092.406553,0.007503943751262457,73,869
0.14114677925684535,0.014244971521701424,0.02135269257485141,12.58044695854187,8.875990152359009,1715668093.0822968,0.007107721053149987,74,956
0.13819848985419772,0.012651221826928743,0.018928642778994757,13.320332288742065,9.615992069244385,1715668093.8221822,0.006277420952066014,75,1052
0.12960355970279958,0.011036724431444224,0.016042401708335492,14.119823932647705,10.415632486343384,1715668094.6216738,0.0050056772768912695,76,1157
0.1203734093809882,0.009468294265689863,0.013875783397836919,14.994230508804321,11.290075778961182,1715668095.4960804,0.004407489132147057,77,1272
0.10710410938939409,0.007741704079910328,0.0118065173779333,15.967710256576538,12.263303279876709,1715668096.4695601,0.004064813298022972,78,1400
0.09953701913181466,0.006098608771681665,0.010177806205579752,17.020371913909912,13.316222667694092,1715668097.5222218,0.004079197433898088,79,1539
0.08219377447058462,0.005502740937221806,0.00914943958038186,18.201050519943237,14.496795415878296,1715668098.7029004,0.0036466986431600524,80,1693
0.07081865307055508,0.0038267770153893417,0.00701475475395107,19.489455223083496,15.785353183746338,1715668099.991305,0.003187977738561728,81,1863
0.06186732831864492,0.003114685460285624,0.005736230498895576,20.89516830444336,17.190998315811157,1715668101.3970182,0.002621545038609952,82,2049
0.05155666704531524,0.002200543704633244,0.004267946908639698,22.454644203186035,18.750388622283936,1715668102.956494,0.002067403204006454,83,2254
0.04373436262082437,0.001385672865197997,0.0031034655127883033,24.16516399383545,20.461017608642578,1715668104.667014,0.0017177926475903064,84,2479
0.03484205585221645,0.0010112722106906033,0.002278118273438082,26.05483317375183,22.3503897190094,1715668106.556683,0.001266846062747479,85,2727
0.02830858972601139,0.0008684924722563575,0.0020818021964356284,28.14215064048767,24.437949895858765,1715668108.6440005,0.001213309724179271,86,3000
