step,time,l2_error,loss,arm,system,seed,lr,damping,momentum,norm_constraint,num_seconds,equation
229,1640.8165807724,1.8644503970975073e-05,9.944654774574394e-10,engdw,heat4,3,,,,,3000,heat
252,1804.873356103897,1.759354815196101e-05,9.118644249925888e-10,engdw,heat4,3,,,,,3000,heat
277,1983.7300040721893,1.6654404222234498e-05,8.492616935173387e-10,engdw,heat4,3,,,,,3000,heat
305,2183.9769682884216,1.5440093043777308e-05,8.861009046381634e-10,engdw,heat4,3,,,,,3000,heat
335,2398.5523257255554,1.5176862272727053e-05,6.88957407193157e-10,engdw,heat4,3,,,,,3000,heat
369,2641.211240053177,1.4017380551285064e-05,6.360762919098647e-10,engdw,heat4,3,,,,,3000,heat
406,2904.9137814044952,1.3517842505874791e-05,5.607330984586933e-10,engdw,heat4,3,,,,,3000,heat
420,3004.920091152191,1.3350165910842301e-05,5.677156611940775e-10,engdw,heat4,3,,,,,3000,heat
0,8.610588550567627,35.13210858281862,1098.7978572872114,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
1,17.308485746383667,32.12461033159264,995.2576131851613,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
2,25.645365238189697,29.23315213506559,845.1743367381041,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
3,34.039427757263184,26.56734648570373,735.2228855988882,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
4,42.43219327926636,24.26143400782877,649.6847487701891,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
5,50.824599266052246,22.108939260554532,610.2756189244739,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
6,59.21599578857422,20.190268304538723,516.406953638164,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
7,67.60664129257202,18.44377800346887,464.52289575805185,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
8,75.997154712677,16.913400421637725,400.66250047414235,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
9,84.3887550830841,15.47866071006274,350.38838489781176,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
10,92.78156757354736,14.242367648502013,305.7635394289022,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
11,101.17195916175842,13.06532745890199,288.4271650797655,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
12,109.60342335700989,12.041161509723194,250.92311883006064,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
13,118.0661244392395,11.070646062269324,220.35990373473115,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
14,126.52797603607178,10.200242405133771,205.29897643345748,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
15,134.99072194099426,9.423270076925048,178.6820008423952,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
16,143.4533839225769,8.68476233514396,156.48096554030067,engdw,lfp9,1,,,,,6000,log-fokker-planck-isotropic
