loss_boundary,loss,_runtime,_timestamp,loss_interior,l2_error,_step,time,step
6.552947513310328e-08,1.0242580992984603e-06,58.288379430770874,1715359200.3874784,9.58728624165357e-07,0.00017825707161124772,60,53.99938678741455,252
6.552947513310328e-08,1.0242580992984603e-06,58.79938340187073,1715359200.8984823,9.58728624165357e-07,0.00017825707161124772,61,54.510488748550415,277
6.552947513310328e-08,1.0242580992984603e-06,59.36733913421631,1715359201.466438,9.58728624165357e-07,0.00017825707161124772,62,55.07843351364136,305
6.552947513310328e-08,1.0242580992984603e-06,59.92100191116333,1715359202.0201008,9.58728624165357e-07,0.00017825707161124772,63,55.63210725784302,335
6.552947513310328e-08,1.0242580992984603e-06,60.55392551422119,1715359202.6530244,9.58728624165357e-07,0.00017825707161124772,64,56.26482534408569,369
6.552947513310328e-08,1.0242580992984603e-06,61.299493074417114,1715359203.398592,9.58728624165357e-07,0.00017825707161124772,65,57.010544776916504,406
6.552947513310328e-08,1.0242580992984603e-06,62.09699559211731,1715359204.1960945,9.58728624165357e-07,0.00017825707161124772,66,57.80811810493469,446
6.552947513310328e-08,1.0242580992984603e-06,62.92488145828247,1715359205.0239804,9.58728624165357e-07,0.00017825707161124772,67,58.63590860366821,491
6.552947513310328e-08,1.0242580992984603e-06,63.89106845855713,1715359205.9901674,9.58728624165357e-07,0.00017825707161124772,68,59.60216450691223,540
6.552947513310328e-08,1.0242580992984603e-06,64.90881133079529,1715359207.0079103,9.58728624165357e-07,0.00017825707161124772,69,60.6198787689209,594
6.552947513310328e-08,1.0242580992984603e-06,66.01455807685852,1715359208.113657,9.58728624165357e-07,0.00017825707161124772,70,61.72563028335571,653
6.552947513310328e-08,1.0242580992984603e-06,67.2567834854126,1715359209.3558824,9.58728624165357e-07,0.00017825707161124772,71,62.96785068511963,718
6.552947513310328e-08,1.0242580992984603e-06,68.71645379066467,1715359210.8155527,9.58728624165357e-07,0.00017825707161124772,72,64.42756295204163,790
6.552947513310328e-08,1.0242580992984603e-06,70.33027219772339,1715359212.429371,9.58728624165357e-07,0.00017825707161124772,73,66.04137921333313,869
6.552947513310328e-08,1.0242580992984603e-06,72.110915184021,1715359214.210014,9.58728624165357e-07,0.00017825707161124772,74,67.8219199180603,956
6.552947513310328e-08,1.0242580992984603e-06,73.91845679283142,1715359216.0175557,9.58728624165357e-07,0.00017825707161124772,75,69.62957763671875,1052
6.552947513310328e-08,1.0242580992984603e-06,75.94246888160706,1715359218.0415678,9.58728624165357e-07,0.00017825707161124772,76,71.65357089042664,1157
6.552947513310328e-08,1.0242580992984603e-06,78.23434233665466,1715359220.3334413,9.58728624165357e-07,0.00017825707161124772,77,73.9454174041748,1272
6.552947513310328e-08,1.0242580992984603e-06,80.76018643379211,1715359222.8592854,9.58728624165357e-07,0.00017825707161124772,78,76.47122430801392,1400
6.552947513310328e-08,1.0242580992984603e-06,83.444344997406,1715359225.543444,9.58728624165357e-07,0.00017825707161124772,79,79.15520167350769,1539
6.552947513310328e-08,1.0242580992984603e-06,86.44225215911865,1715359228.541351,9.58728624165357e-07,0.00017825707161124772,80,82.15327525138855,1693
6.552947513310328e-08,1.0242580992984603e-06,89.73531770706177,1715359231.8344166,9.58728624165357e-07,0.00017825707161124772,81,85.44640183448792,1863
6.552947513310328e-08,1.0242580992984603e-06,93.35758590698242,1715359235.4566848,9.58728624165357e-07,0.00017825707161124772,82,89.06869912147522,2049
6.552947513310328e-08,1.0242580992984603e-06,97.52065849304199,1715359239.6197574,9.58728624165357e-07,0.00017825707161124772,83,93.23172974586487,2254
6.552947513310328e-08,1.0242580992984603e-06,101.89659309387207,1715359243.995692,9.58728624165357e-07,0.00017825707161124772,84,97.60767650604248,2479
6.552947513310328e-08,1.0242580992984603e-06,106.53028154373169,1715359248.6293805,9.58728624165357e-07,0.00017825707161124772,85,102.24131608009338,2727
6.552947513310328e-08,1.0242580992984603e-06,111.98954629898071,1715359254.0886452,9.58728624165357e-07,0.00017825707161124772,86,107.7004144191742,3000
6.552947513310328e-08,1.0242580992984603e-06,117.57117795944214,1715359259.6702769,9.58728624165357e-07,0.00017825707161124772,87,113.28225684165955,3299
6.552947513310328e-08,1.0242580992984603e-06,123.86267137527466,1715359265.9617703,9.58728624165357e-07,0.00017825707161124772,88,119.57376408576965,3629
6.552947513310328e-08,1.0242580992984603e-06,130.8223488330841,1715359272.9214478,9.58728624165357e-07,0.00017825707161124772,89,126.53346967697144,3992
6.552947513310328e-08,1.0242580992984603e-06,138.54933524131775,1715359280.6484342,9.58728624165357e-07,0.00017825707161124772,90,134.26014637947083,4391
6.552947513310328e-08,1.0242580992984603e-06,147.08538150787354,1715359289.1844804,9.58728624165357e-07,0.00017825707161124772,91,142.79638195037842,4831
6.552947513310328e-08,1.0242580992984603e-06,156.61473274230957,1715359298.7138317,9.58728624165357e-07,0.00017825707161124772,92,152.32583165168762,5314
6.552947513310328e-08,1.0242580992984603e-06,166.91203451156616,1715359309.0111334,9.58728624165357e-07,0.00017825707161124772,93,162.62309956550598,5845
6.552947513310328e-08,1.0242580992984603e-06,178.35249781608582,1715359320.4515967,9.58728624165357e-07,0.00017825707161124772,94,174.06326365470886,6429
6.552947513310328e-08,1.0242580992984603e-06,190.67149186134338,1715359332.7705908,9.58728624165357e-07,0.00017825707161124772,95,186.38251566886902,7072
6.552947513310328e-08,1.0242580992984603e-06,204.15671682357788,1715359346.2558157,9.58728624165357e-07,0.00017825707161124772,96,199.86775183677673,7779
6.552947513310328e-08,1.0242580992984603e-06,219.1782763004303,1715359361.2773752,9.58728624165357e-07,0.00017825707161124772,97,214.88907504081726,8557
6.552947513310328e-08,1.0242580992984603e-06,235.62141108512878,1715359377.72051,9.58728624165357e-07,0.00017825707161124772,98,231.3324580192566,9413
6.552947513310328e-08,1.0242580992984603e-06,253.0627281665802,1715359395.161827,9.58728624165357e-07,0.00017825707161124772,99,248.77381491661072,10354
6.552947513310328e-08,1.0242580992984603e-06,272.8899042606354,1715359414.9890032,9.58728624165357e-07,0.00017825707161124772,100,268.60059571266174,11389
6.552947513310328e-08,1.0242580992984603e-06,294.2555501461029,1715359436.354649,9.58728624165357e-07,0.00017825707161124772,101,289.9666602611542,12528
6.552947513310328e-08,1.0242580992984603e-06,318.33892917633057,1715359460.438028,9.58728624165357e-07,0.00017825707161124772,102,314.04970836639404,13781
6.552947513310328e-08,1.0242580992984603e-06,344.8152060508728,1715359486.914305,9.58728624165357e-07,0.00017825707161124772,103,340.52623867988586,15159
6.552947513310328e-08,1.0242580992984603e-06,374.0289707183838,1715359516.1280696,9.58728624165357e-07,0.00017825707161124772,104,369.73973321914673,16675
6.552947513310328e-08,1.0242580992984603e-06,406.1322717666626,1715359548.2313707,9.58728624165357e-07,0.00017825707161124772,105,401.8433473110199,18342
6.552947513310328e-08,1.0242580992984603e-06,442.3819885253906,1715359584.4810874,9.58728624165357e-07,0.00017825707161124772,106,438.0927925109863,20177
6.552947513310328e-08,1.0242580992984603e-06,481.1335790157318,1715359623.232678,9.58728624165357e-07,0.00017825707161124772,107,476.84421277046204,22194
6.552947513310328e-08,1.0242580992984603e-06,524.3692631721497,1715359666.468362,9.58728624165357e-07,0.00017825707161124772,108,520.0800485610962,24414
6.552947513310328e-08,1.0242580992984603e-06,571.3156702518463,1715359713.4147692,9.58728624165357e-07,0.00017825707161124772,109,567.0265924930573,26855
6.552947513310328e-08,1.0242580992984603e-06,623.3766508102417,1715359765.4757497,9.58728624165357e-07,0.00017825707161124772,110,619.0873382091522,29540
6.552947513310328e-08,1.0242580992984603e-06,679.6473262310028,1715359821.7464252,9.58728624165357e-07,0.00017825707161124772,111,675.358074426651,32494
6.552947513310328e-08,1.0242580992984603e-06,742.2246170043945,1715359884.323716,9.58728624165357e-07,0.00017825707161124772,112,737.9353077411652,35744
6.552947513310328e-08,1.0242580992984603e-06,810.7962684631348,1715359952.8953674,9.58728624165357e-07,0.00017825707161124772,113,806.5070209503174,39318
6.552947513310328e-08,1.0242580992984603e-06,886.1600158214569,1715360028.2591147,9.58728624165357e-07,0.00017825707161124772,114,881.8706858158112,43250
6.552947513310328e-08,1.0242580992984603e-06,969.3605995178223,1715360111.4596984,9.58728624165357e-07,0.00017825707161124772,115,965.0713872909546,47575
6.552947513310328e-08,1.0242580992984603e-06,1004.3068764209747,1715360146.4059753,9.58728624165357e-07,0.00017825707161124772,116,1000.0176658630371,49379
