time,_runtime,step,l2_error,_timestamp,loss_interior,_step,loss_boundary,loss
12.849455833435059,16.74858570098877,869,0.05597316752774457,1715517319.6371908,0.0008755273109871954,73,0.0032061401265525433,0.004081667437539739
13.955602884292603,17.855974912643433,956,0.05640926339954953,1715517320.74458,0.0010013972879529501,74,0.003088550506203439,0.004089947794156389
15.186905145645142,19.086590051651,1052,0.05315109152732455,1715517321.9751952,0.0014924041838787038,75,0.003096347165636783,0.004588751349515487
16.528804063796997,20.429203033447266,1157,0.05449000289318203,1715517323.3178082,0.0007931976786887425,76,0.002910215882387986,0.0037034135610767285
17.995951890945435,21.89630961418152,1272,0.053242326491313975,1715517324.7849147,0.004962803841509331,77,0.0028030555212109564,0.007765859362720288
19.629058599472046,23.52647876739502,1400,0.04933690718055078,1715517326.415084,0.0005927012473373396,78,0.0027152377855643997,0.0033079390329017393
21.38742208480835,25.287466049194336,1539,0.05039459009958145,1715517328.1760712,0.00044964832562648544,79,0.002610478604133292,0.0030601269297597772
23.352243185043335,27.252147436141968,1693,0.06431656061669236,1715517330.1407526,0.14139958791915908,80,0.0030869504918888727,0.14448653841104794
25.51869225502014,29.41747784614563,1863,0.051003346359111384,1715517332.306083,0.0012619700954126748,81,0.002403583520907839,0.003665553616320514
27.875583171844482,31.774897813796997,2049,0.04914889573907112,1715517334.663503,0.0005126018593463278,82,0.0022515116138506755,0.002764113473197003
30.47810649871826,34.37777900695801,2254,0.045664278078840805,1715517337.2663841,0.00033593937820842974,83,0.0021225000726746244,0.002458439450883054
33.33489632606506,37.235406160354614,2479,0.04581845800064637,1715517340.1240113,0.00043087680832564927,84,0.002012750645441681,0.00244362745376733
36.47888541221619,40.37940001487732,2727,0.04701046460788188,1715517343.2680051,0.002447933269438593,85,0.0018812654446772469,0.0043291987141158405
39.93281435966492,43.83239793777466,3000,0.04130380385611803,1715517346.721003,0.00028859789021946615,86,0.0016914791324442251,0.0019800770226636915
43.72982668876648,47.6271858215332,3299,0.0395457777906186,1715517350.515791,0.00024213327762926686,87,0.001539833950182413,0.0017819672278116799
47.91184902191162,51.81219983100891,3629,0.03733609847256556,1715517354.700805,0.00020490035996524684,88,0.0013550936214474032,0.0015599939814126501
52.49613928794861,56.39644980430603,3992,0.03412960761721955,1715517359.285055,0.0004142298851854253,89,0.0011945145827567697,0.001608744467942195
57.53913116455078,61.43947768211365,4391,0.03250686149324027,1715517364.3280828,0.00022368787566569702,90,0.0009978996130525818,0.0012215874887182788
63.11433982849121,67.01465487480164,4831,0.029120262775228875,1715517369.90326,0.00019278673755601878,91,0.0008204629311324123,0.001013249668688431
69.22370910644531,73.12364792823792,5314,0.025706656588978583,1715517376.012253,0.011817663351045643,92,0.0007701658794965646,0.012587829230542207
75.94758772850037,79.84643721580505,5845,0.02521004015725017,1715517382.7350423,0.00016465895963436444,93,0.000593249747882716,0.0007579087075170804
83.34149861335754,87.24216914176941,6429,0.0220832003598933,1715517390.1307743,0.00092284777165531,94,0.0005392337921422592,0.0014620815637975692
91.46609807014465,95.36644673347473,7072,0.02153508402527449,1715517398.2550519,0.0001990159978938162,95,0.00045159000114073055,0.0006506059990345468
100.41794538497925,104.31784868240356,7779,0.019052875580457273,1715517407.2064538,0.00013221955092160013,96,0.0003444016012788849,0.00047662115220048506
110.26575422286987,114.1640956401825,8557,0.016946646380175467,1715517417.0527008,0.00018572857175262495,97,0.0003013938370817113,0.0004871224088343363
121.08676648139954,124.98676586151123,9413,0.0273814172378764,1715517427.875371,0.021490923368437095,98,0.0002660090383727481,0.021756932406809842
132.98620319366455,136.88666939735413,10354,0.012812268655953345,1715517439.7752745,0.0010670921787626995,99,0.00017180438958884503,0.0012388965683515444
146.07251858711243,149.97046184539795,11389,0.02538886810773736,1715517452.859067,0.00715916225094609,100,0.00013688495200091222,0.007296047202947002
160.45833086967468,164.35913014411926,12528,0.008190384519180789,1715517467.2477353,0.00015326050682081243,101,8.423539899202353e-05,0.00023749590581283595
176.33386301994324,180.23183035850525,13781,0.007671627575752405,1715517483.1204355,0.00016526687455290155,102,6.2908451088879e-05,0.00022817532564178055
