_step,_timestamp,step,time,loss_interior,loss_boundary,l2_error,loss,_runtime
86,1715516242.5710971,3000,89.51121854782104,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,93.39576601982117
87,1715516248.815372,3299,95.75531029701233,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,99.6400408744812
88,1715516255.7172408,3629,102.65730619430542,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,106.54190969467163
89,1715516263.2918777,3992,110.23204946517944,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,114.11654663085938
90,1715516271.616104,4391,118.55628204345703,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,122.44077277183533
91,1715516280.7895458,4831,127.72970914840698,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,131.61421465873718
92,1715516290.8405426,5314,137.7807354927063,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,141.6652114391327
93,1715516301.9232755,5845,148.86311984062195,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,152.747944355011
94,1715516314.1594322,6429,161.0995433330536,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,164.9841010570526
95,1715516327.6054795,7072,174.5456018447876,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,178.4301483631134
96,1715516342.378145,7779,189.31831192970276,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,193.20281386375427
97,1715516358.6683435,8557,205.6082079410553,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,209.4930124282837
98,1715516376.5583618,9413,223.49849915504456,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,227.38303065299988
99,1715516396.282106,10354,243.22218561172485,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,247.10677480697632
100,1715516417.9275706,11389,264.86740493774414,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,268.7522394657135
101,1715516441.790536,12528,288.73068475723267,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,292.6152048110962
102,1715516467.9029524,13781,314.84280347824097,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,318.7276213169098
103,1715516496.7028637,15159,343.64295506477356,7.38864201576867e-07,6.208751624831847e-08,0.00023675606407733753,8.009517178251854e-07,347.52753257751465
