loss_interior,loss,time,l2_error,_runtime,loss_boundary,step,_step,_timestamp
1.921393948167838e-06,1.8472411522576577e-05,26.1984703540802,0.003349661943807151,29.937439680099487,1.655101757440874e-05,172,56,1715516189.5984087
1.2698064022891595e-06,1.2017348838444425e-05,28.75313901901245,0.002641580372757492,32.492350339889526,1.0747542436155266e-05,190,57,1715516192.1533194
8.866948838120923e-07,8.997940155896245e-06,31.152523040771484,0.0022712931389983885,34.89164686203003,8.111245272084153e-06,208,58,1715516194.552616
6.097677030511383e-07,4.529900748564234e-06,33.974529504776,0.001531031635254928,37.71369385719299,3.920133045513096e-06,229,59,1715516197.3746629
4.5737898324666e-07,3.343310600113273e-06,37.205503702163696,0.001289476288114471,40.944226026535034,2.885931616866613e-06,252,60,1715516200.605195
3.0140818366697034e-07,1.8070857434296493e-06,40.58970069885254,0.0009067109781123326,44.329004526138306,1.505677559762679e-06,277,61,1715516203.9899735
2.2010845859119286e-07,1.1685030334838758e-06,44.51440787315369,0.0007035126094780998,48.253663778305054,9.483945748926831e-07,305,62,1715516207.9146328
1.8879054008621915e-07,9.284635368652796e-07,48.773879528045654,0.0006205539827757245,52.51310896873474,7.396729967790604e-07,335,63,1715516212.174078
1.475304328073856e-07,6.181561462643029e-07,53.54583930969238,0.00048508694523324023,57.28502583503723,4.706257134569173e-07,369,64,1715516216.9459949
1.225858682391251e-07,4.755405852747103e-07,58.74843645095825,0.00041327685690485883,62.48755431175232,3.529547170355852e-07,406,65,1715516222.1485233
1.0861343834472986e-07,3.629928180109134e-07,64.41116881370544,0.0003438679576238094,68.15032887458801,2.5437937966618353e-07,446,66,1715516227.811298
8.809014073819418e-08,2.6802176533310617e-07,70.32002067565918,0.0002824356219777173,74.05903387069702,1.7993162459491201e-07,491,67,1715516233.720003
7.794692811917122e-08,2.131247090114674e-07,76.60744500160217,0.00023978647222932815,80.34635710716248,1.3517778089229618e-07,540,68,1715516240.0073261
6.867855169637165e-08,1.642988727856068e-07,83.49923276901245,0.00019715776706864956,87.2383029460907,9.562032108923515e-08,594,69,1715516246.899272
6.291556301024976e-08,1.3250785907000778e-07,91.04239511489868,0.00016504300512673858,94.7810730934143,6.959229605975801e-08,653,70,1715516254.442042
5.3993534976278314e-08,9.987968676855654e-08,99.34096121788025,0.0001314851621962256,103.07973313331604,4.5886151792278226e-08,718,71,1715516262.7407022
4.677778204949298e-08,7.614040983375678e-08,108.52262592315674,0.00010362491855506346,112.26149678230286,2.9362627784263805e-08,790,72,1715516271.9224658
4.092058962704186e-08,6.070574878591367e-08,118.61346697807312,8.5287665966085e-05,122.35218811035156,1.9785159158871805e-08,869,73,1715516282.0131571
3.6886069509191734e-08,5.1735374349612875e-08,129.70311880111694,7.411602736540708e-05,133.4418020248413,1.484930484042114e-08,956,74,1715516293.102771
3.224814360918519e-08,4.286093563777226e-08,141.9289426803589,6.300529552194288e-05,145.66780352592468,1.0612792028587071e-08,1052,75,1715516305.3287725
2.924473980600097e-08,3.7705769741651675e-08,155.28749680519104,5.634602216508905e-05,159.0262188911438,8.461029935650702e-09,1157,76,1715516318.687188
2.5944265251040448e-08,3.245664203873407e-08,169.93403124809265,4.9415380082743525e-05,173.67273378372192,6.512376787693627e-09,1272,77,1715516333.3337028
2.345966593243386e-08,2.8728940108256845e-08,186.2056794166565,4.440344284688898e-05,189.94437718391418,5.269274175822987e-09,1400,78,1715516349.6053462
2.0408821083066427e-08,2.439107100892875e-08,203.8783884048462,3.826883993495866e-05,207.6172811985016,3.982249925862322e-09,1539,79,1715516367.2782502
1.7708572694873063e-08,2.0713036012540548e-08,223.4949963092804,3.2819092585094565e-05,227.23375535011292,3.004463317667483e-09,1693,80,1715516386.8947244
1.5421138192945563e-08,1.7709637572825087e-08,245.1417579650879,2.817047506839946e-05,248.8806712627411,2.2884993798795226e-09,1863,81,1715516408.5416403
1.330465217184688e-08,1.5019594198475918e-08,268.8053982257843,2.391424089801708e-05,272.5443811416626,1.7149420266290368e-09,2049,82,1715516432.2053502
1.1758404351652041e-08,1.3109713752323423e-08,294.8975703716278,2.0803760393816167e-05,298.63656401634216,1.3513094006713828e-09,2254,83,1715516458.297533
9.96095625630278e-09,1.0948842214893334e-08,323.5310459136963,1.7427135466461705e-05,327.2698013782501,9.878859585905545e-10,2479,84,1715516486.9307704
8.493126973443062e-09,9.234036015154764e-09,355.09087896347046,1.4815355329407406e-05,358.8297436237335,7.409090417117033e-10,2727,85,1715516518.4907126
7.893672236165279e-09,8.547036524667236e-09,389.92603826522827,1.3817524164480483e-05,393.66499972343445,6.533642885019578e-10,3000,86,1715516553.3259687
7.082757663009553e-09,7.629295146575614e-09,428.00292134284973,1.2558452087694172e-05,431.7418897151947,5.465374835660604e-10,3299,87,1715516591.4028587
6.353608751471733e-09,6.815885072197396e-09,470.02852153778076,1.1525848751751272e-05,473.7672805786133,4.622763207256628e-10,3629,88,1715516633.4282496
5.434244943145856e-09,5.8056440685494e-09,516.2594332695007,1.0386653776016175e-05,519.9983863830566,3.713991254035439e-10,3992,89,1715516679.6593554
4.6635895729558406e-09,4.970285852509018e-09,567.0764663219452,9.548296379852883e-06,570.8154027462006,3.0669627955317705e-10,4391,90,1715516730.4763718
3.9158645014298974e-09,4.167612739364753e-09,623.168612241745,8.886903458879248e-06,626.9076054096222,2.517482379348556e-10,4831,91,1715516786.5685744
3.374405059034704e-09,3.5897520208319636e-09,684.7313532829285,8.423293497593896e-06,688.4702713489532,2.1534696179725984e-10,5314,92,1715516848.1312404
2.9351940484124408e-09,3.121855959400324e-09,752.6290180683136,8.035603069040539e-06,756.367915391922,1.866619109878832e-10,5845,93,1715516916.0288844
2.5712507004819163e-09,2.734192742680044e-09,826.9400582313538,7.681910107683933e-06,830.6789681911469,1.6294204219812753e-10,6429,94,1715516990.3399372
2.256966507621145e-09,2.3991738281087256e-09,909.0326898097992,7.341625314028555e-06,912.7716159820557,1.4220732048758063e-10,7072,95,1715517072.432585
1.98521768549187e-09,2.1092890217160714e-09,999.0994267463684,7.004900686513417e-06,1002.8383605480194,1.2407133622420132e-10,7779,96,1715517162.4993296
1.983775386351905e-09,2.107747744792609e-09,1000.0032391548157,7.003306964395937e-06,1003.7419106960297,1.239723584407038e-10,7786,97,1715517163.4028797
