step,time,_step,loss_boundary,loss,loss_interior,_runtime,l2_error,_timestamp
540,198.90026998519897,68,0.19111178062292805,1.285895991192773,1.0947842105698449,203.51724004745483,0.5257456379975429,1715427487.641603
594,218.44334053993225,69,0.10275498130107283,1.1193844638040737,1.016629482503001,223.0595932006836,0.39716023097924313,1715427507.1839561
653,239.48647284507751,70,0.04970489670222164,0.947661066377257,0.8979561696750353,244.10257244110107,0.2673933690237315,1715427528.2269354
718,262.4722626209259,71,0.02753690146128016,0.7908836031539881,0.7633467016927079,267.08832335472107,0.1988547298792088,1715427551.2126863
790,288.2307713031769,72,0.016090527927508983,0.6723370066724611,0.6562464787449521,292.8468210697174,0.14656736188685432,1715427576.971184
869,316.577269077301,73,0.013184397686710167,0.6147100459018522,0.601525648215142,321.19334411621094,0.12107661277743215,1715427605.317707
956,347.897164106369,74,0.012166937417978361,0.5043430198165625,0.4921760823985842,352.5134665966034,0.11681695116654593,1715427636.6378295
1052,382.314665555954,75,0.011817991354866407,0.45553012317954517,0.4437121318246788,386.9319941997528,0.11176528162443246,1715427671.0563571
1157,419.8476800918579,76,0.012228598998642348,0.38876661258187434,0.37653801358323197,424.4638035297394,0.11070078009054442,1715427708.5881665
1272,460.93627762794495,77,0.012194134022092141,0.33420449561397164,0.3220103615918795,465.5531253814697,0.10995116747458503,1715427749.6774883
1400,506.95853900909424,78,0.011825668140084466,0.2583597847030491,0.24653411656296464,511.5745379924774,0.11489141834802614,1715427795.698901
1539,556.9664530754089,79,0.014256203688930292,0.23497166352193583,0.22071545983300553,561.5824704170227,0.11490533357069364,1715427845.7068334
1693,612.3101048469543,80,0.014515916874322243,0.19883566260627217,0.18431974573194992,616.9264006614685,0.11839625228215966,1715427901.0507636
1863,673.6436538696289,81,0.013868461732696256,0.16372506014503835,0.14985659841234208,678.261022567749,0.12074136037389842,1715427962.3853855
2049,740.5128362178802,82,0.01547287002843137,0.14737368225403255,0.13190081222560118,745.1293678283691,0.12221187021329027,1715428029.2537308
2254,813.95179438591,83,0.014132293431984315,0.12553898118979054,0.11140668775780622,818.5679574012756,0.12504380171518187,1715428102.6923203
2479,896.8658015727997,84,0.0134135215418251,0.10457659668707761,0.09116307514525251,901.482081413269,0.1237382502907739,1715428185.6064444
2727,986.94566822052,85,0.015062675861237732,0.09671618639956989,0.08165351053833216,991.5618667602539,0.12053452919311132,1715428275.6862297
3000,1085.5390186309814,86,0.014779788648463053,0.0817206859622369,0.06694089731377385,1090.1554055213928,0.11950272546260199,1715428374.2797685
3299,1194.1216950416565,87,0.013950645150373068,0.08158319921844567,0.0676325540680726,1198.7387793064117,0.11454613378540526,1715428482.8631423
3629,1311.776923418045,88,0.010389064901952747,0.06868239626170425,0.058293331359751496,1316.3934829235077,0.1089086416364784,1715428600.5178459
3992,1441.6796009540558,89,0.010309166191116232,0.06554860551193124,0.055239439320815015,1446.2956857681274,0.10348791910327698,1715428730.4200487
4391,1583.302011013031,90,0.010052126137242524,0.06054891378963507,0.050496787652392544,1587.9185719490051,0.09672168400804391,1715428872.042935
4831,1741.604853630066,91,0.008620239581959555,0.054974493412193015,0.046354253830233456,1746.2210612297058,0.0920123677929649,1715429030.3454242
5314,1915.5644767284393,92,0.0062261670416238896,0.04861685961784368,0.04239069257621979,1920.1809084415436,0.08391526966270979,1715429204.3052714
5845,2102.1017706394196,93,0.0055183746217987275,0.0440071421880063,0.03848876756620757,2106.7194600105286,0.07732357237886767,1715429390.843823
6429,2312.390481710434,94,0.005358845613685958,0.04153208124005942,0.036173235626373465,2317.006587743759,0.07129367560254711,1715429601.1309507
7072,2543.183556318283,95,0.004245528559596858,0.036323704926918485,0.032078176367321624,2547.8006002902985,0.06641368226920732,1715429831.9249632
7779,2797.4220843315125,96,0.0036209537930477634,0.033837674503560525,0.03021672071051276,2802.0385658740997,0.0614523572214948,1715430086.1629288
8346,3000.1051774024963,97,0.0032849784274837724,0.030918069197304457,0.027633090769820685,3004.7213780879974,0.058067911544858304,1715430288.845741
